Country/Territory,Capital,Largest City,Second Largest City
Abkhazia,Sukhumi,Sukhumi,Gagra
Afghanistan,Kabul,Kabul,Kandahar
Akrotiri and Dhekelia,Episkopi Cantonment,Episkopi Cantonment,Ayios Nikolaos
Åland,Mariehamn,Mariehamn,Jomala
Albania,Tirana,Tirana,Durrës
Algeria,Algiers,Algiers,Oran
American Samoa,Pago Pago,Tafuna,Nu'uuli
Andorra,Andorra la Vella,Andorra la Vella,Les Escaldes
Angola,Luanda,Luanda,Huambo
Anguilla,The Valley,North Side,The Valley
Antigua and Barbuda,St. John's,St. John's,All Saints
Argentina,Buenos Aires,Buenos Aires,Córdoba
Armenia,Yerevan,Yerevan,Gyumri
Aruba,Oranjestad,Oranjestad,Sint Nicolaas
Australia,Canberra,Sydney,Melbourne
Austria,Vienna,Vienna,Graz
Azerbaijan,Baku,Baku,Ganja
Bahamas,Nassau,Nassau,Freeport
Bahrain,Manama,Manama,Riffa
Bangladesh,Dhaka,Dhaka,Chittagong
Barbados,Bridgetown,Bridgetown,Speightstown
Belarus,Minsk,Minsk,Homel
Belgium,Brussels,Brussels,Antwerp
Belize,Belmopan,Belize City,San Ignacio
Benin,Porto-Novo,Cotonou,Abomey-Calavi
Bermuda,Hamilton,St. George's,Hamilton
Bhutan,Thimphu,Thimphu,Phuntsholing
Bolivia,Sucre,Santa Cruz de la Sierra,El Alto
Bosnia and Herzegovina,Sarajevo,Sarajevo,Banja Luka
Botswana,Gaborone,Gaborone,Francistown
Brazil,Brasília,São Paulo,Rio de Janeiro
Brunei,Bandar Seri Begawan,Bandar Seri Begawan,Kuala Belait
Bulgaria,Sofia,Sofia,Plovdiv
Burkina Faso,Ouagadougou,Ouagadougou,Bobo-Dioulasso
Burundi,Bujumbura,Bujumbura,Muyinga
Cambodia,Phnom Penh,Phnom Penh,Siem Reap
Cameroon,Yaoundé,Douala,Yaoundé
Canada,Ottawa,Toronto,Montreal
Cape Verde,Praia,Praia,Mindelo
Cayman Islands,George Town,George Town,West Bay
Central African Republic,Bangui,Bangui,Bimbo
Chad,N'Djamena,N'Djamena,Moundou
Chile,Santiago,Santiago,Puente Alto
China,Beijing,Shanghai,Beijing
Christmas Island,Flying Fish Cove,Flying Fish Cove,Poon Saan
Cocos Islands,West Island,Bantam,West Island
Colombia,Bogotá,Bogotá,Medellín
Comoros,Moroni,Moroni,Mutsamudu
Democratic Republic of the Congo,Kinshasa,Kinshasa,Lubumbashi
Republic of the Congo,Brazzaville,Brazzaville,Pointe-Noire
Cook Islands,Avarua,Avarua,Amuri
Costa Rica,San José,San José,Alajuela
Côte d'Ivoire,Yamoussoukro,Abidjan,Bouaké
Croatia,Zagreb,Zagreb,Split
Cuba,Havana,Havana,Santiago de Cuba
Curaçao,Willemstad,Willemstad,Sint Michiel
Cyprus,Nicosia,Nicosia,Limassol
Czech Republic,Prague,Ostrava,Brno
Denmark,Copenhagen,Copenhagen,Aarhus
Djibouti,Djibouti,Djibouti,Ali Sabieh
Dominica,Roseau,Roseau,Portsmouth
Dominican Republic,Santo Domingo,Santo Domingo,Santiago de los Caballeros
East Timor,Dili,Dili,Dare
Ecuador,Quito,Guayaquil,Quito
Egypt,Cairo,Cairo,Alexandria
El Salvador,San Salvador,San Salvador,Santa Ana
Equatorial Guinea,Malabo,Bata,Malabo
Eritrea,Asmara,Asmara,Keren
Estonia,Tallinn,Tallinn,Tartu
Ethiopia,Addis Ababa,Addis Ababa,Dire Dawa
Falkland Islands,Stanley,Stanley,Goose Green
Faroe Islands,Tórshavn,Tórshavn,Klaksvík
Fiji,Suva,Nasinu,Suva
Finland,Helsinki,Tampere,Espoo
France,Paris,Paris,Marseille and Lyon
French Guiana,Cayenne,Cayenne,Saint-Laurent-du-Maroni
French Polynesia,Papeete,Papeete,Mahina
Gabon,Libreville,Libreville,Port-Gentil
Gambia,Banjul,Serekunda,Brikama
Georgia,Tbilisi,Tbilisi,Kutaisi
Germany,Berlin,Rhine-Ruhr,Hamburg
Ghana,Accra,Accra,Kumasi
Gibraltar,Gibraltar,Algeciras,
Greece,Athens,Athens,Thessaloniki
Greenland,Nuuk,Nuuk,Sisimiut
Grenada,St. George's,St. George's,Gouyave
Guam,Hagåtña,Tamuning,Mangilao
Guatemala,Guatemala City,Guatemala City,Quetzaltenango
Guernsey,Saint Peter Port,Saint Peter Port,Vale
Guinea,Conakry,Conakry,Nzérékoré
Guinea-Bissau,Bissau,Bissau,Gabú
Guyana,Georgetown,Georgetown,Linden
